789,A. Iwobi
790,D. Laxalt
791,N. Bentaleb
792,N. Stark
793,M. Lemina
794,L. Dendoncker
795,Ricardo Esgaio
796,P. Sisto
797,P. Max
798,R. Gagliardini
799,Pere Pons
800,D. Berardi
801,M. Halstenberg
802,J. Quintero
803,Tiago Volpi
804,Óliver Torres
805,Omar Mascarell
806,H. Sakai
807,Andreas Pereira
808,A. Januzaj
809,B. Cristante
810,Matheus
811,B. Traoré
812,Y. Poulsen
813,L. Trossard
814,M. Arnold
815,M. De Sciglio
816,Leo Baptistao
817,V. Chiricheş
818,L. Pavoletti
819,A. Cragno
820,L. Castro
821,N. Füllkrug
822,F. Fajr
823,R. Jiménez
824,E. Sala
825,S. García
826,S. Arias
827,B. Reynet
828,Pozuelo
829,A. Trebel
830,J. Lascelles
831,T. Kongolo
832,A. Carrillo
833,Álvaro
834,G. Defrel
835,Fernando
836,V. Darida
837,R. Saponara
838,Pedro Mendes
839,C. Schindler
840,N. Chadli
841,Arbilla
842,L. Dunk
843,P. Hernández
844,J. Guidetti
845,Sergi Gómez
846,Oriol Romeu
847,Lucas Pérez
848,B. Natcho
849,Cláudio Ramos
850,F. Lejeune
851,G. Krychowiak
852,N. Lodeiro
853,O. Özyakup
854,C. Tévez
855,K. Papadopoulos
856,M. Gradel
857,M. Debuchy
858,V. Moses
859,Z. Junuzović
860,Granero
861,J. Baumgartlinger
862,Fábio Coentrão
863,B. Costil
864,Hilton
865,N. Gudelj
866,L. Pratto
867,E. Hernández
868,Jurado
869,R. Cabella
870,Rafael Tolói
871,C. Bravo
872,Hernanes
873,K. Honda
874,A. Dzyuba
875,J. Holebas
876,Javi García
877,Sergio
878,M. Cáceres
879,Daniel Carriço
880,J. Cork
881,J. Tomkins
882,Guilherme
883,Gervinho
884,J. Shelvey
885,R. Eremenko
886,R. Vormer
887,J. Lens
888,Adriano
889,S. Cook
890,L. Podolski
891,C. Ansaldi
892,Manu García
893,R. Alessandrini
894,J. Ward-Prowse
895,M. Harnik
896,B. Moukandjo
897,G. Pereiro
898,G. Castro
899,Aarón Martín
900,F. Johnson
901,L. López
902,M. Dossevi
903,Caiuby
904,Gabriel
905,Iván Ramis
906,M. Suchý
907,T. Vilhena
908,E. Çolak
909,V. Germain
910,G. Hoarau
911,Sergio García
912,E. Choupo-Moting
913,J. Pinola
914,J. Hendrix
915,J. Izquierdo
916,S. Sydorchuk
917,C. Grenier
918,T. Strobl
919,V. Odjidja-Ofoe
920,N. Guzmán
921,F. Fabra
922,J. Maddison
923,K. El Ahmadi
924,M. Carcela-González
925,M. Gabbiadini
926,Gomes
927,M. Ritchie
928,G. Bou
929,Javi Fuego
930,E. Akbaba
931,J. Amavi
932,R. Malinovskyi
933,D. Welbeck
934,G. Conti
935,Bruno
936,Garry Rodrigues
937,A. Schwolow
938,L. Cook
939,P. Pérez
940,Gazzolisco
941,Jonatan Soriano
942,Rubén Peña
943,Mikel San José
944,P. Groß
945,L. Baines
946,A. Ogbonna
947,Juan Jesus
948,J. Martínez
949,N. Elvedi
950,G. Moreno
951,J. Valdivia
952,A. Carroll
953,Luís Neto
954,A. Pyatov
955,T. Gutiérrez
956,Álex Remiro
957,Wilson Eduardo
958,Jorge Meré
959,M. Elneny
960,D. Torres
961,Y. Bounou
962,A. Prijović
963,A. Jahanbakhsh
964,J. Calleri
965,Simão Acunha
966,N. Müller
967,L. Ocampos
968,J. Rodriguez
969,V. Ibišević
970,S. Rondón
971,Victor Sánchez
972,D. Suárez
973,K. Huntelaar
974,L. Dubois
975,André Pinto
976,K. Lala
977,O. Kıvrak
978,A. Bertolacci
979,E. Giaccherini
980,A. Živković
981,R. Ábila
982,P. Diop
983,D. Garmash
984,T. Chandler
985,R. Klavan
986,A. Miranchuk
987,D. Da Silva
988,D. Benaglio
989,T. Rincón
990,M. Pereira
991,C. Borges
992,J. Sand
993,Markel Bergara
994,Vágner Love
995,B. Bourigeaud
996,R. Soriano
997,D. Kuzyaev
998,R. Sambueza
999,Montoya
1000,A. Poli
1001,C. Austin
1002,L. Tonelli
1003,M. Zárate
1004,J. Sancho
1005,D. Basta
1006,Marçal
1007,Munir
1008,G. Sio
1009,J. McCarthy
1010,J. Aquino
1011,H. Pérez
1012,Jô
1013,R. Gurtner
1014,C. Sánchez
1015,M. Sissoko
1016,W. Anton
1017,E. Skhiri
1018,Rúben Vezo
1019,Jorge Molina
1020,M. Hasebe
1021,A. Schürrle
1022,O. Ighalo
1023,L. Acosta
1024,V. Babacan
1025,R. Aguilar
1026,Yeray
1027,J. Defoe
1028,L. Schøne
1029,C. Ünder
1030,M. Dabbur
1031,Roberto
1032,Djaniny
1033,Wallace
1034,Pedro Obiang
1035,D. Heintz
1036,N. Mukiele
1037,T. Vermaelen
1038,I. Abate
1039,Diego Llorente
1040,C. Wood
1041,Formosandrinho
1042,E. Pulgar
1043,V. Vasin
1044,V. Grifo
1045,A. Turan
1046,J. dos Santos
1047,D. Schwaab
1048,M. Schmelzer
1049,L. Spinazzola
1050,A. Dragović
1051,D. Pröpper
1052,R. Inglese
1053,A. Marchesín
1054,R. De Paul
1055,C. Gentner
1056,G. Murray
1057,Rafael Carioca
1058,A. McCarthy
1059,L. Chichizola
1060,D. Zakaria
1061,G. Dzhikiya
1062,N. Castillo
1063,D. Origi
1064,O. Yokuşlu
1065,D. Cheryshev
1066,D. Selke
1067,Wendell
1068,M. Layún
1069,Y. Sabaly
1070,P. Cutrone
1071,F. Marchetti
1072,W. Cyprien
1073,G. Paletta
1074,F. Caicedo
1075,Jordi Masip
1076,B. Espinosa
1077,M. Benassi
1078,P. Jagielka
1079,J. Kucka
1080,R. Brady
1081,A. Szymanowski
1082,W. Reid
1083,Cédric
1084,R. Civelli
1085,R. Loftus-Cheek
1086,S. De Maio
1087,S. Brown
1088,A. Mitrović
1089,P. Skjelbred
1090,D. Cvitanich
1091,K. Lasagna
1092,R. Palacio
1093,M. Wolf
1094,E. Gigliotti
1095,N. Jørgensen
1096,Laguardia
1097,J. Lukaku
1098,J. Augustin
1099,M. Diakhaby
1100,Douglas
1101,N. Pejčinović
1102,D. van de Beek
1103,Borja Iglesias
1104,G. Shibasaki
1105,W. Hughes
1106,S. Boufal
1107,T. Kehrer
1108,M. Lang
1109,E. Gutiérrez
1110,D. Upamecano
1111,Jefferson
1112,W. Benítez
1113,E. Bardhi
1114,K. Mbodji
1115,B. Sarr
1116,F. Ferreyra
1117,Danilo
1118,A. Ayew
1119,K. Mitroglou
1120,J. Villar
1121,P. Herrmann
1122,D. da Costa
1123,V. Fischer
1124,Wesley
1125,D. Ginczek
1126,F. Kostić
1127,R. Fraser
1128,Cote
1129,H. Winks
1130,K. Mbabu
1131,M. Hinteregger
1132,L. Acosta
1133,Sidcley
1134,M. Jørgensen
1135,M. Fabián
1136,Carlos Eduardo
1137,Rubén Castro
1138,L. Augustinsson
1139,S. Aziz
1140,G. Ochoa
1141,P. Hetemaj
1142,André André
1143,Vinícius Júnior
1144,B. Džemaili
1145,Juanpe
1146,K. Fortounis
1147,M. Vorm
1148,B. Oczipka
1149,R. Bentancur
1150,T. Hernández
1151,M. Lowton
1152,I. Diop
1153,B. André
1154,C. Piccini
1155,Paulinho
1156,A. Diawara
1157,Yuri Berchiche
1158,José Sá
1159,F. Kamano
1160,F. Cartabia
1161,E. Ünal
1162,I. Radovanović
1163,Renan Ribeiro
1164,Jony
1165,D. Buonanotte
1166,Tomás Pina
1167,N. Pallois
1168,D. Latza
1169,F. Belluschi
1170,O. Abdulrahman
1171,O. Trejo
1172,N. Barella
1173,Angeliño
1174,Vieirundinho
1175,F. Orellana
1176,F. Grillitsch
1177,C. Ortíz
1178,Bruno Viana
1179,J. Maidana
1180,R. Funes Mori
1181,D. Kohr
1182,F. Higuaín
1183,A. Barák
1184,F. Andone
1185,Adrián
1186,G. González
1187,Otávio
1188,D. Janmaat
1189,R. Funes Mori
1190,P. Schick
1191,Aleix Vidal
1192,A. Schöpf
1193,W. Boly
1194,Alberto Moreno
1195,C. Villanueva
1196,M. Weiser
1197,G. Escalante
1198,M. Holgate
1199,J. Hopf
1200,D. Zurutuza
1201,Juanmi
1202,K. Gibbs
1203,F. Fernández
1204,L. Kalinić
1205,N. Radoja
1206,N. Blandi
1207,David Juncà
1208,Wu Lei
1209,Gabriel Boschilia
1210,Iuri Medeiros
1211,M. Phillips
1212,Iván Cuéllar
1213,J. Lössl
1214,Mario Suárez
1215,W. Bony
1216,S. Doumbia
1217,D. Reyes
1218,Bernat
1219,V. Behrami
1220,S. Langkamp
1221,J. Sosa
1222,A. Touré
1223,Jesé
1224,D. Ings
1225,M. Esser
1226,F. Acheampong
1227,R. Knoche
1228,O. Vlachodimos
1229,J. Denayer
1230,S. Rode
1231,Wendel
1232,A. Nagy
1233,Alfa Semedo
1234,A. Barnes
1235,Alan Kardec
1236,Marcelo
1237,E. Boateng
1238,Dalbert
1239,A. Halilović
1240,I. Popov
1241,T. Cleverley
1242,M. Livaja
1243,M. Uribe
1244,P. Bargfrede
1245,J. Jankto
1246,Junior Firpo
1247,D. D'Ambrosio
1248,D. Boyko
1249,M. Díaz
1250,S. Vokes
1251,Héldon
1252,Mario Hermoso
1253,F. Bartels
1254,K. Malcuit
1255,R. Marin
1256,Ayoze Pérez
1257,Júnior Moraes
1258,V. Berisha
1259,R. Freuler
1260,Ganso
1261,Vicente Gómez
1262,M. Pašalić
1263,Vitor Hugo
1264,B. Fornaroli
1265,R. Snodgrass
1266,Francisco Geraldes
1267,I. Ordets
1268,D. Santon
1269,M. Niang
1270,O. Wendt
1271,C. Riveros
1272,F. Benković
1273,M. Torres
1274,M. Noble
1275,M. Rashica
1276,C. Benteke
1277,Rômulo
1278,D. Pabón
1279,Embarba
1280,C. Kerbrat
1281,L. Teodorczyk
1282,Alexo Baia
1283,David Seijalbo
1284,N. Nández
1285,L. Rupp
1286,Jordi Amat
1287,W. Caballero
1288,F. Di Francesco
1289,O. El Kaddouri
1290,T. Rogić
1291,G. Töre
1292,M. Destro
1293,Josué
1294,A. Bizzarri
1295,Ki Sung Yueng
1296,H. Onyekuru
1297,N. Pépé
1298,Matheus Pereira
1299,Y. Salibur
1300,E. Vargas
1301,L. Magallán
1302,Danny
1303,C. Hérelle
1304,E. Mangala
1305,O. Selnæs
1306,Víctor Vázquez
1307,Diego Mariño
1308,Carles Planas
1309,G. Fernández
1310,Soldado
1311,A. Ekdal
1312,Gedson Fernandes
1313,M. Darmian
1314,N. Chalobah
1315,R. Pizarro
1316,André Simões
1317,S. Tshabalala
1318,L. Rossettini
1319,F. Viviani
1320,M. de Roon
1321,Rubén Duarte
1322,Y. Ōsako
1323,Gil
1324,A. Ruiz
1325,P. van Aanholt
1326,S. Meïté
1327,K. Dolberg
1328,Juli Freitinho
1329,L. Vietto
1330,A. Izzo
1331,A. Paloschi
1332,G. Gönül
1333,Llorente
1334,J. Morel
1335,G. Kakuta
1336,João Pedro
1337,S. García
1338,Eltildo Correia
1339,Kenedy
1340,M. Moralez
1341,N. Vukčević
1342,F. Borini
1343,I. Sarr
1344,C. Clark
1345,Mata
1346,M. Albrighton
1347,A. Gray
1348,F. Guarín
1349,Yoel
1350,J. Cuadrado
1351,S. Widmer
1352,B. Dzsudzsák
1353,P. Mantalos
1354,S. Proto
1355,A. Mehmedi
1356,Pablo
1357,I. Slimani
1358,C. Erkin
1359,D. Chygrynskyi
1360,Beto
1361,A. Samaris
1362,G. Lapadula
1363,Dênildo Stein
1364,S. Padt
1365,S. Taïder
1366,F. Klaus
1367,H. Nordtveit
1368,L. Zuffi
1369,Emilio Piodão
1370,S. Zuber
1371,J. Palomino
1372,Y. Mutō
1373,J. Altidore
1374,M. Barbosa
1375,G. Laborde
1376,P. Baysse
1377,Eric Botteghin
1378,Iván Alejo
1379,S. Blanco
1380,Thiago Mendes
1381,D. Brosinski
1382,T. Monconduit
1383,Andrés Fernández
1384,Eraso
1385,S. Hanni
1386,M. Konaté
1387,C. Théréau
1388,A. Donatti
1389,T. Jedvaj
1390,Pedro Henrique
1391,J. Briand
1392,F. Lustenberger
1393,J. Ayew
1394,S. Sanogo
1395,R. Thomas
1396,Rafael Cachoira
1397,N. Sansone
